movieid|average_rank|frequency|imdb_rating|imdb_votes|rank_of_average_rank|rank_of_frequency|rank_of_imdb_rating|rank_of_imdb_votes|bucket_rank
259|6.151515151515151|66.0|8.7|405419.0|268.0|183.5|10.0|25.0|6.0
260|4.180722891566265|83.0|7.4|71087.0|76.0|146.0|166.5|210.0|2.0
261|4.753191489361702|235.0|7.3|113812.0|127.0|28.5|180.0|160.0|3.0
262|6.121951219512195|41.0|6.6|71162.0|263.0|254.0|276.5|209.0|6.0
263|2.2658227848101267|79.0|8.0|288559.0|2.0|159.5|97.5|56.0|1.0
264|10.863636363636363|22.0|4.9|2853.0|447.0|333.0|428.5|431.0|10.0
265|5.770949720670391|179.0|5.8|92364.0|227.0|50.0|383.5|186.0|5.0
266|4.569948186528498|193.0|6.2|104892.0|108.0|42.0|339.0|169.0|3.0
267|5.674418604651163|129.0|6.9|93364.0|212.0|99.5|234.0|184.0|5.0
268|5.388888888888889|54.0|6.7|140739.0|191.0|210.5|261.0|136.0|5.0
269|7.625|16.0|6.2|15164.0|369.0|374.0|339.0|358.0|8.0
270|6.722222222222222|18.0|5.4|4260.0|317.5|359.5|407.5|420.0|7.0
271|4.142857142857143|7.0|7.1|35898.0|71.0|438.0|206.0|298.0|2.0
272|4.333333333333333|18.0|7.4|68562.0|91.0|359.5|166.5|217.0|2.0
273|5.182926829268292|82.0|6.4|104839.0|174.0|150.5|310.5|170.0|4.0
274|4.394230769230769|104.0|3.7|8699.0|92.0|117.0|459.0|383.0|2.0
275|6.029411764705882|34.0|6.8|105685.0|256.0|281.0|246.5|168.0|6.0
276|4.75|4.0|7.4|11151.0|125.5|458.5|166.5|373.0|3.0
277|6.333333333333333|18.0|5.8|6186.0|283.0|359.5|383.5|401.0|6.0
278|5.444444444444445|18.0|6.5|63385.0|199.0|359.5|295.5|226.0|5.0
279|5.009216589861751|217.0|8.6|498511.0|145.0|34.0|15.5|13.0|4.0
280|5.258278145695364|151.0|5.8|74127.0|182.0|69.5|383.5|206.0|4.0
281|4.677966101694915|59.0|6.8|22312.0|115.0|202.0|246.5|333.0|3.0
