movieid|average_score|rank_of_average_score|average_rank|frequency|rank_of_frequency|votes|rank_of_votes
100|6.6|276.5|6.6875|64.0|187.0|55002.0|245.0
101|6.0|362.0|7.571428571428571|28.0|297.0|27938.0|317.0
102|8.0|97.5|8.588235294117647|17.0|368.0|37116.0|294.0
103|7.7|124.5|6.655172413793103|58.0|205.0|60061.0|233.0
104|6.7|261.0|5.7368421052631575|19.0|351.5|11016.0|374.0
105|7.2|193.5|4.761904761904762|63.0|189.5|93824.0|181.0
106|6.1|350.0|7.857142857142857|14.0|388.0|4696.0|415.0
107|8.4|37.5|5.340836012861736|311.0|17.0|403358.0|26.0
108|6.8|246.5|6.3|40.0|257.5|56138.0|242.0
109|5.0|423.5|6.125|24.0|321.5|22256.0|334.0
110|5.5|401.5|6.444444444444445|9.0|422.0|10145.0|379.0
111|6.4|310.5|7.041666666666667|24.0|321.5|34077.0|299.0
112|8.2|65.0|5.65|140.0|83.5|264102.0|65.0
113|5.4|407.5|7.352941176470588|17.0|368.0|787.0|452.0
114|7.3|180.0|4.020408163265306|49.0|225.5|174063.0|110.0
115|5.8|383.5|5.081632653061225|49.0|225.5|53772.0|246.0
116|8.1|85.0|5.466666666666667|330.0|14.0|370576.0|32.0
117|7.1|206.0|4.678571428571429|28.0|297.0|74125.0|207.0
118|7.1|206.0|3.130952380952381|84.0|143.0|93762.0|182.0
119|6.4|310.5|7.164383561643835|73.0|170.0|70080.0|214.0
120|5.6|395.5|0.0|0.0|471.0|4071.0|422.0
121|7.7|124.5|5.105263157894737|19.0|351.5|66812.0|221.0
122|4.7|437.0|6.25|4.0|458.5|7562.0|390.0
123|5.7|389.0|7.08080808080808|99.0|121.0|43434.0|274.0
124|7.5|155.5|3.9696969696969697|66.0|183.5|204034.0|93.0
125|6.8|246.5|6.2682926829268295|82.0|150.5|75242.0|202.0
126|7.0|222.0|7.933333333333334|15.0|380.5|50299.0|256.0
127|5.2|415.0|4.729508196721311|122.0|103.0|121751.0|151.0
128|8.5|25.5|3.7735849056603774|159.0|63.0|550361.0|10.0
129|4.6|439.0|4.75|16.0|374.0|4493.0|417.0
130|8.8|6.0|4.534031413612565|191.0|43.0|428549.0|23.0
131|8.2|65.0|5.081545064377682|233.0|30.0|332195.0|39.0
132|6.8|246.5|7.5|10.0|413.5|1079.0|449.0
133|8.1|85.0|4.257627118644068|295.0|20.0|260619.0|67.0
134|5.9|373.5|9.055555555555555|18.0|359.5|6771.0|397.0
135|6.3|325.5|13.0|3.0|464.0|2307.0|436.0
136|6.6|276.5|5.022222222222222|135.0|90.0|143445.0|132.0
137|3.8|456.0|8.379310344827585|29.0|292.5|808.0|451.0
138|6.5|295.5|4.168224299065421|214.0|36.0|85358.0|190.0
139|7.5|155.5|3.161290322580645|155.0|66.0|238875.0|73.0
140|7.3|180.0|3.5875|80.0|157.5|273961.0|61.0
141|5.9|373.5|6.722222222222222|18.0|359.5|52866.0|248.0
142|6.7|261.0|5.75|8.0|430.5|7818.0|387.0
143|6.5|295.5|7.035714285714286|28.0|297.0|61290.0|230.0
144|6.6|276.5|6.407407407407407|27.0|303.5|50084.0|257.0
145|5.7|389.0|7.538461538461538|13.0|397.0|52724.0|249.0
146|3.1|466.0|6.4520547945205475|73.0|170.0|5986.0|405.0
147|6.4|310.5|7.361538461538461|130.0|97.0|119556.0|155.0
148|8.2|65.0|5.865248226950355|282.0|23.0|167662.0|116.0
149|5.8|383.5|5.3375|80.0|157.5|85375.0|189.0
150|8.2|65.0|6.153061224489796|196.0|39.0|221676.0|87.0
151|8.1|85.0|6.276422764227642|123.0|102.0|110138.0|165.0
152|7.6|141.0|5.325581395348837|43.0|249.5|158335.0|123.0
153|7.8|112.5|4.4|40.0|257.5|38176.0|289.0
154|7.0|222.0|4.782051282051282|78.0|161.5|231415.0|77.0
155|6.8|246.5|4.624277456647399|173.0|52.0|112806.0|162.0
156|5.6|395.5|4.546666666666667|150.0|71.5|26828.0|320.0
157|6.9|234.0|15.666666666666666|3.0|464.0|1506.0|446.0
158|6.0|362.0|9.227272727272727|22.0|333.0|14175.0|363.0
159|6.1|350.0|7.888888888888889|18.0|359.5|9216.0|382.0
160|6.7|261.0|9.3125|16.0|374.0|583.0|458.0
161|8.8|6.0|3.239130434782609|414.0|5.0|779255.0|2.0
162|6.3|325.5|7.378571428571429|140.0|83.5|223247.0|83.0
163|8.3|48.0|5.774881516587678|422.0|3.0|309992.0|46.0
164|8.3|48.0|5.721311475409836|61.0|194.5|465222.0|17.0
165|7.0|222.0|13.5|2.0|468.0|499.0|460.0
166|7.7|124.5|3.5238095238095237|42.0|252.0|183148.0|106.0
167|8.2|65.0|6.444444444444445|54.0|210.5|236949.0|74.0
168|6.3|325.5|6.526315789473684|19.0|351.5|56030.0|243.0
169|7.3|180.0|4.666666666666667|36.0|273.0|80765.0|195.0
170|7.9|105.0|2.840909090909091|88.0|136.0|391609.0|29.0
171|7.1|206.0|3.6358024691358026|162.0|57.0|275162.0|60.0
172|7.6|141.0|3.076923076923077|130.0|97.0|187059.0|101.0
173|6.6|276.5|5.05|40.0|257.5|64165.0|225.0
174|8.2|65.0|5.856801909307876|419.0|4.0|245907.0|71.0
175|6.1|350.0|6.573770491803279|61.0|194.5|40729.0|279.0
176|8.0|97.5|3.630434782608696|46.0|237.0|83122.0|193.0
177|5.9|373.5|6.388888888888889|36.0|273.0|14658.0|361.0
178|4.2|449.0|9.055555555555555|36.0|273.0|249.0|463.0
179|6.6|276.5|7.108108108108108|37.0|267.5|139765.0|137.0
180|4.6|439.0|6.903225806451613|31.0|286.5|31986.0|306.0
181|3.7|459.0|5.8|20.0|345.0|1502.0|447.0
182|8.0|97.5|4.312925170068027|147.0|74.0|311906.0|44.0
183|6.7|261.0|6.205128205128205|39.0|261.5|57571.0|238.0
184|6.5|295.5|7.054054054054054|37.0|267.5|36223.0|296.0
185|6.9|234.0|10.666666666666666|6.0|445.5|3769.0|425.0
186|8.2|65.0|5.0638297872340425|141.0|82.0|439706.0|22.0
187|7.3|180.0|5.374045801526718|131.0|94.5|226857.0|79.0
188|7.1|206.0|5.440993788819876|161.0|58.5|144878.0|129.0
189|6.9|234.0|11.0|7.0|438.0|16407.0|354.0
190|7.3|180.0|4.848484848484849|231.0|31.0|98267.0|179.0
191|8.4|37.5|7.192771084337349|83.0|146.0|273858.0|62.0
